client_name,client_version,client_previous_version,client_timestamp,client_previous_timestamp,dependency_name,dependency_version_range,dependency_previous_version_range,dependency_resolved_version,dependency_previous_resolved_version,resources_client, first_round_codes,codes,causes,how_downgrade,quotes
npm-registry-client,7.4.4,7.4.3,2016-12-09T00:00:27.556Z,2016-12-07T01:25:37.508Z,standard,~8.5.0,^8.0.0,8.5.0,8.6.0,https://github.com/npm/npm-registry-client/commit/2244b9e4544d46577316bab777895aba266f7729,"change ^ by ~, choose specific provider","Specify provider to downgrade, Add new feature, Temporary change",,,"""Lock standard while we update our sources"""
mi-angular-bitdash-player,0.5.7,0.5.6,2017-02-10T15:29:40.224Z,2017-02-02T13:25:27.863Z,angular,~1.5.8,^1.4.9,1.5.11,1.6.1,https://github.com/MovingImage24/mi-angular-bitdash-player/commit/06311116a7f8fa05d95691043a3a7a7edc4777d9,"change ^ by ~, choose specific provider","Change providers with same prefix on name, Remove/modify feature",,,"""WBC-478 Re-activate view switching (WBC-CSR)”"
connexionjs,0.3.1,0.3.0,2016-04-23T22:48:18.821Z,2016-04-23T22:41:08.973Z,systemjs-builder,0.14.15,latest,0.14.15,0.15.15,https://github.com/constgen/connexionjs/commit/9d7dbc21318b2eaf7214684ecd35ad784ab7bfd0,"from latest to tight version range, choose specific providers",Specify provider to downgrade,,,"""v 0.3.1 final”"
cs-tslint-rules,3.1.0,3.0.1,2017-04-20T21:02:28.221Z,2017-04-20T18:48:48.736Z,tslint,^4.5.1,^5.1.0,4.5.1,5.1.0,https://github.com/codeschool/cs-tslint-rules/commit/8d36377a603ecb5f3febe1e2e80fb8c9ccb25886,"choose specific provider, choose specific version tange, add another provider while downgrading","Fix unspecified issue, Add new provider(s), Change providers with same prefix on name",,,"""Fix required version of tslint in package.json."""
entcore-toolkit,0.1.0,0.0.1,2017-05-12T09:33:56.747Z,2017-02-02T13:23:28.510Z,typescript,2.1.1,^2.1.1,2.1.1,2.1.5,https://github.com/entcore/toolkit/commit/cb535e097a2aa97d54a2bc8303637aab904e7a20,"remove range operator, change a batch of providers but not all",Change configuration,,,"""reduced autosaver timing”, “- token = setTimeout(loop, 3000); + token = setTimeout(loop, 500);”"
dilla,1.8.0-beta1,1.7.0,2015-09-14T18:51:44.138Z,2015-09-13T21:16:56.169Z,browserify,10.0.0,^10.0.0,10.0.0,10.2.6,https://github.com/adamrenklint/dilla/commit/10a14feeac1e5c824987d4ac5338666154f7751a,"change a batch but mention one provider in the commit message, remove range operator, change batch of dependencies once",Specify provider to downgrade,,,"""update meemo and expressions"""
google-trends-api,4.0.0,3.0.2,2017-02-14T04:41:30.010Z,2017-02-11T12:34:07.565Z,chai,3.4.1,^3.5.0,3.4.1,3.5.0,https://github.com/pat310/google-trends-api/commit/8c4f1a2ad9afc730390395946b0c9db24986539b#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"make it work with another dependency, change batch of dependencies, add dependencies while downgrading","Fix incompatibility, Add new provider(s)","Incompatibilities, Other providers",,"""working with webpack?"""
html-react-parser,0.2.0,0.1.1,2016-11-18T20:54:16.938Z,2016-11-17T19:26:02.841Z,react-dom,15.3,*,15.3.0,15.4.0,"https://github.com/remarkablemark/html-react-parser/issues/29, https://github.com/remarkablemark/html-react-parser/pull/30","breaking change, fix bug, choose specific version, choose specific provider","Fix bug, Recover from breaking change, Fix incompatibility","Breaking change, Build-time breaking change, Incompatibilities, Other providers",,"""It looks like this library has been broken by the move to React 15.4.x.”, ""Fix bug due to DOMPropertyConfigs being moved to `react-dom` in v15.4”"
feature-viewer,0.1.22,0.1.21,2015-11-10T16:17:56.729Z,2015-11-10T15:12:04.126Z,d3,3.5.6,x.x.x,3.5.6,3.5.7,https://github.com/calipho-sib/feature-viewer/commit/413533fe0b3417ef164a27eb5511a1a6da3a52ee,"breaking change, fix bug, choose specific version, choose specific provider","Fix bug, Recover from breaking change","Breaking change, Development-time breaking change",,"""fix errors due to new d3 version"""
gh,1.8.1,1.8.0,2013-10-31T15:03:35.500Z,2013-10-31T00:36:27.464Z,handlebars,1.0.11,~1.0.12,1.0.11,1.0.12,"https://github.com/node-gh/gh/commit/c323e81f794bc3ea8889f6d463ce457820304d48, https://github.com/node-gh/gh/issues/217","breaking change, fix bug, choose specific version, choose specific provider","Specify provider to downgrade, Recover from breaking change",,,"""Error on commands due Handlebars templates cannot compile - Fix #217"""
ng2-translate,2.4.3,2.4.2,2016-09-01T13:31:23.866Z,2016-08-20T13:22:50.989Z,commitizen,2.5.0,~2.5.0,2.5.0,2.5.1,https://github.com/ngx-translate/core/commit/3ada3c1c0173d7ad7f5b0ceaffb7699a4c4a4c85,"fix, fix warning message from dependency, incompatibility, large change, choose specific provider version, change batch of dependencies once, downgrading a batch of dependencies to fix a localized problem","Fix warning message, Recover from breaking change",,,"""RC6: import `@angular/core/src/facade/lang` causes traceur error”,"
grunt-galenframework,2.3.2-5,2.3.1-2,2017-02-09T11:44:54.000Z,2016-11-10T05:26:36.865Z,grunt-cli,0.1.13,^1.2.0,0.1.13,1.2.0,https://github.com/hypery2k/grunt-galenframework/commit/3d27b7b75b0a18d94a0a868b2e27d665da8cac42,"new feature, remove operator, choose specific provider",Add new feature,,,"""feat(galen): Use newer galen”"
hydra.js,3.10.0,3.9.12,2017-04-02T21:00:06.614Z,2014-03-21T01:26:22.610Z,karma,0.10.4,~0.10.4,0.10.4,0.10.10,https://github.com/HydraJS/HydraJS/commit/99bf0f50b794d50233520d14992d89a3daefd826,"remove operator, change a batch of dependencies once, batch of providers have all the same prefix in the name",Change providers with same prefix on name,,,"""Update dependencies.”"
crosstab,0.2.8,0.2.7,2015-07-17T05:47:18.631Z,2015-07-16T02:44:50.217Z,mocha-phantomjs,=3.5.3,^3.5.3,3.5.3,3.5.4,https://github.com/tejacques/crosstab/commit/558ab85d6e1bbd2159c22770c3f2d583589f6f8a,"fix range, choose specific provider, change ^ by =","Add new feature, Remove some provider(s), Recover from breaking change","Breaking change, Build-time breaking change",,"""mocha-phantomjs is currently published with a screwed range. This fixes that as well as addign proper SPDX license expression"""
serverless-offline,3.5.3,3.5.2,2016-12-01T08:27:54.016Z,2016-11-30T16:23:54.101Z,hapi,15.2.0,16.0.0,15.2.0,16.0.0,"https://github.com/dherault/serverless-offline/commit/f95587e3f2a9423023f0f72fa33b87acf4504c0c, https://github.com/dherault/serverless-offline/issues/168","node incompatibility, same dependency downgraded twice, choose specific version, choose specific provider","Fix incompatibility, Recover from breaking change, Specify provider to downgrade","Incompatibilities, Node version",,"""The recent upgrade to hapi 16.0.0 renders serverless-offline unusable with node 4.3.2.”, “My apologies... It appears that the upgrade to 16.0.0 was not the cause of this. The last hapi.js version which supported node 4.3.2 is 14.2.0."""
objectschema,2.16.0,2.15.0,2016-11-10T03:24:59.402Z,2016-11-09T23:24:13.475Z,typeable,0.15.x,1.1.x,0.15.0,1.1.0,https://github.com/xpepermint/objectschemajs/commit/8aa678b5c2b5c8fdbafe5689cbeef7e4d5fb35ed,"choose specific provider, choose specific version range",No specific factor,,,"""api shift"""
ipfs-daemon,0.3.0-beta.20,0.3.0-beta.18,2017-02-08T13:27:12.773Z,2017-01-19T12:06:49.534Z,typescript,~2.0.9,^2.0.9,2.0.10,2.1.5,https://github.com/haadcode/ipfs-daemon/commit/814f28456e66814fd908abd1a58afd3a715b7105,"change ^ by ~, change operator from batch of dependencies",No specific factor,,,"""Use ~ instead of ^ for deps (lock to minor versions)"""
xml-lite,0.6.6,0.6.5,2016-10-18T02:50:26.205Z,2016-10-13T09:57:26.993Z,babel-core,~6.14.0,^6.14.0,6.14.0,6.17.0,"https://github.com/lite-js/xml/commit/f45d4dc9acc8944f21e365bc7a9378eeeb03cbaa, https://github.com/lite-js/xml/issues/14",change all dependencies from ^ to ~,Fix unspecified issue,,,
d2-ui,27.0.0-1,27.0.0-0,2017-03-06T10:59:51.408Z,2017-02-22T09:58:02.091Z,react-dom,15.4,^15.3.2,15.4.0,15.4.2,"https://github.com/dhis2/d2-ui/commit/3273daed48146ee54897c4d5a82c4c91718ad26f, https://github.com/dhis2/d2-ui/pull/108","breaking change, change a batch of providers but not all","Recover from breaking change, Change configuration","Breaking change, Run-time breaking change",,"""Update material-ui to 17 (#108)"""
sassdoc-theme-jigsass,0.2.6,0.2.5,2016-02-25T14:09:46.068Z,2016-02-25T13:58:32.185Z,swig,1.4.0,1.4.2,1.4.0,1.4.2,https://github.com/TxHawks/sassdoc-theme-jigSass/commit/d7f6a361db98c9c87d6b76b8c1d6bde0cacbf9d7,"revert previous commit updating dependencies, resolve conflicts",Fix incompatibility,,,
chainit,2.0.0-backcompat,1.3.1,2014-03-18T10:43:02.334Z,2014-03-13T23:22:01.445Z,queue,~1.0.2,~2.2.0,1.0.2,2.2.0,https://github.com/vvo/chainit/commit/6a36e0cd67bbcae0de827a74633785bb1eb537ca,"revert previous commit updating dependencies, resolve conflicts",Fix incompatibility,,,"""Conflicts: index.js"""
d2-ui,0.0.8,0.0.7,2016-01-14T13:50:02.595Z,2015-11-25T10:33:41.295Z,babel-loader,5.3.2,^5.3.2,5.3.2,5.4.0,https://github.com/dhis2/d2-ui/commit/238d8a203f00e91b80db943b26b3c67e848b96f0,"change batch of dependencies but not all, remove operator",No specific factor,,,"""Lock dependencies”"
mailgun-js,0.7.2,0.7.1,2015-10-07T14:12:46.058Z,2015-07-13T12:33:07.450Z,mocha,~2.0.0,*,2.0.1,2.2.5,https://github.com/bojand/mailgun-js/commit/2def0cb9d20e8b72b78fc0c51452b63e0b7187af,"fix test, choose specific provider","Fix bug, Refactor code, Fix broken test",,,"""properly catch errors, code improvements, dependency updates, test fixes"""
generator-bs-less-coffee-webfont,0.0.5,0.0.4,2015-05-10T02:41:58.618Z,2015-01-27T23:17:50.336Z,yeoman-generator,^0.17.0,>=0.17.3,0.17.7,0.18.7,https://github.com/websiddu/generator-bs-less-coffee-webfont/commit/c9e07b7029079bc1930354ceb655f72287afa876,change >= by ^,No specific factor,,,
dat,2.4.1,2.4.0,2013-12-19T02:51:46.769Z,2013-12-18T04:54:03.679Z,level-live-stream,1.4.7,~1.4.7,1.4.7,1.4.8,https://github.com/datproject/dat/commit/885ff49e09799894f0ea40b57d5867cf121143a2,"remove operator, choose specific provider, choose specific level",Specify provider to downgrade,,,"""peg level-live-stream to 1.4.7"""
noise-search,0.4.0,0.3.0,2017-05-04T04:08:27.852Z,2017-04-25T20:41:51.629Z,neon-cli,0.1.13,^0.1.13,0.1.13,0.1.15,https://github.com/pipedown/node-noise/commit/2b2376456dd8125b6b5d8fd1211f83288a9d883f,"breaking change, change specific provider, pin version to a specific one","Fix build, Temporary change","Breaking change, Build-time breaking change",,"""Pin neon-cli to 0.1.13. The most recent 0.1.x (0.1.15) broke the build, hence pin it to 0.1.13 for now until it is fixed."""
mozaik-ext-jira-2,1.0.2,1.0.1,2017-02-09T17:49:05.023Z,2017-02-09T07:35:53.678Z,superagent,1.8.3,^3.4.1,1.8.3,3.4.2,https://github.com/yeppao/mozaik-ext-my-jira/commit/d3f42df4c0227d25ac77270a6f154f86e2e5573e,"compatibility, remove operator, choose specific version, change range statement, multiple downgrades",Fix incompatibility,"Incompatibilities, Other providers",,"""Package version modification for compatibility"""
react-easyform,0.1.4,0.1.3,2017-05-08T03:17:16.259Z,2017-05-05T07:10:09.320Z,react-dom,15.4.2,^15.4.2,15.4.2,15.5.4,https://github.com/qiqiboy/react-easyform/commit/ca3e62dccbd63a964ec801300153043097c03476,"remove operator, change a batch of dependencies once",No specific factor,,,"""lock pkg version"""
rutilus-analytics-node-js,0.0.25,0.0.24,2017-03-27T19:43:15.892Z,2017-03-27T14:46:03.676Z,bluebird,3.4.7,^3.4.7,3.4.7,3.5.0,https://github.com/gmrutilus/rutilus-analytics-node-js/commit/fa522ceec6516419f85eda8957416f51a8f9c59c,"remove operator, change a batch of dependencies once",Change providers with same prefix on name,,,"""locked versions"""
www-bundle,1.0.9,1.0.8,2015-08-21T08:45:36.675Z,2015-08-13T20:04:47.086Z,koa-bundle,1.0.5,^1.0.5,1.0.5,1.0.12,https://github.com/lapwinglabs/www-bundle/commit/d4fd0bc71918a7a0b14d466a41c50cd3cd8e6e57,"remove operator, change a batch of dependencies once",Change providers with same prefix on name,,,"""pin all dependencies"""
ember-cli-map,0.2.1,0.2.0,2014-10-20T11:02:51.421Z,2014-10-15T12:59:57.806Z,ember-cli-inject-live-reload,1.2.2,^1.2.2,1.2.2,1.3.0,https://github.com/ember-admin/ember-cli-map/commit/a99dd3f61e66e54976b795a78fdae32ad70360f0,"remove operator, change a batch of dependencies once",No specific factor,,,"""Update package.json"""
pancakes-angular,0.2.103,0.2.102,2016-01-23T22:13:53.248Z,2016-01-23T21:42:33.202Z,angular,1.4.8,1.4.9,1.4.8,1.4.9,https://github.com/gethuman/pancakes-angular/commit/fea604e94e8037f8f4327b77950c47500e5c19a0,"choose specific provider, choose specific version, all providers with the same prefix on name",Change providers with same prefix on name,,,"""reverting angular version"""
react-toastr,2.8.2,2.8.1,2016-11-09T00:48:11.694Z,2016-09-21T02:59:30.056Z,eslint-plugin-import,1.12.0,^1.15.0,1.12.0,1.15.0,https://github.com/tomchentw/react-toastr/commit/f24370f988ab0e1cc6c2f1ef66b013ed67acacfa,"choose specific provider, choose specific version, all providers with the same prefix on name",Change providers with same prefix on name,,,
newrelic-api,1.0.12,1.0.11,2015-11-12T06:05:00.852Z,2015-11-10T13:14:23.938Z,grunt-babel,5.0.3,6.0.0,5.0.3,6.0.0,https://github.com/mdibaiee/newrelic-api/commit/794d9243736b18f0abc5757ea5a4b8fa9b4d4f2d,"choose specific provider, choose specific version, all providers with the same prefix on name","Change providers with same prefix on name, Specify provider to downgrade, Remove some provider(s)",,,"""chore: downgrade to babel5"""
apiexplorer,0.4.0,0.3.0,2017-03-07T11:17:11.638Z,2016-12-29T12:46:57.963Z,history,1.12.6,^1.12.6,1.12.6,1.17.0,https://github.com/sky-uk/api-explorer/commit/3d5c85d129866b0452dda932928bff13d6ce4bf8,"remove operator, change a batch of dependencies once, lock all dependencies, start using yarn",No specific factor,,,"""Lock all versions in package JSON and start using yarn lock file"""
grunt-sails-linker,0.9.0,0.2.0,2013-07-18T23:04:49.517Z,2013-07-18T22:56:20.856Z,grunt-contrib-clean,0.4.0,~0.4.0,0.4.0,0.4.1,https://github.com/sailshq/grunt-sails-linker/commit/7c4f3a445136a0994d05d9a606e470abb888005a,"remove operator, change a batch of dependencies once, lock all dependencies",Change providers with same prefix on name,,,"""Locked down deps"""
atom-keymap,6.3.3-beta0,6.3.2,2016-09-14T16:11:15.106Z,2016-03-30T22:16:10.360Z,coffee-script,1.7.0,^1.7.0,1.7.0,1.10.0,https://github.com/atom/atom-keymap/commit/c1e12fef35c0f4ed16d7d23387a6193a55ca564f,"remove operator, change a batch of dependencies once, lock all dependencies","Fix build, Recover from breaking change, Change providers with same prefix on name","Breaking change, Build-time breaking change",,"""Use exact versions in package.json: Because some of the new ones caused issue when calling npm install."""
generator-appsngen-web-widget,0.3.11,0.3.10,2016-06-23T13:39:29.293Z,2016-05-11T08:25:23.918Z,yosay,1.0.2,~1.0.2,1.0.2,1.0.5,https://github.com/appsngen/generator-appsngen-web-widget/commit/0d6fd3dfc0c43744e77729765c51eb5c472f3c2d,"remove operator, change a batch of dependencies once, lock all dependencies","Change providers with same prefix on name, Add new provider(s), Remove some provider(s)",,,"""Update template to use phonegap"""
rutilus-analytics-node-js,0.0.25,0.0.24,2017-03-27T19:43:15.892Z,2017-03-27T14:46:03.676Z,webpack,2.2.1,^2.2.1,2.2.1,2.3.2,https://github.com/gmrutilus/rutilus-analytics-node-js/commit/fa522ceec6516419f85eda8957416f51a8f9c59c,"remove operator, change a batch of dependencies once, lock all dependencies",Change providers with same prefix on name,,,“locked versions”
pg-promise,5.7.1,5.7.0,2017-05-17T17:08:52.842Z,2017-05-15T01:40:38.808Z,jasmine-node,1.14,1.x,1.14.0,1.14.5,https://github.com/vitaly-t/pg-promise/commit/6261711fdcb1e402bad0a3cd9ac5270b7d616100,"remove operator, change a batch of dependencies once, lock all dependencies",No specific factor,,,"""setting firm dependencies.”"
fae,1.1.3,1.1.2,2017-04-09T23:03:13.002Z,2017-04-09T22:50:16.090Z,pixi-sound,1.4.0,^1.4.0,1.4.0,1.4.1,https://github.com/sambrosia/fae/commit/4b5d0b8bcf206e9c62ec77b585d4df5f08523024,"remove operator, change a batch of dependencies once, lock all dependencies",No specific factor,,,"""Fixed dependency version strictness”"
basebuild-angular,0.14.0,0.13.9,2016-06-19T06:06:56.007Z,2016-06-08T16:43:25.302Z,gulp-coffee,2.3.1,~2.3.1,2.3.1,2.3.2,https://github.com/TimeoutZero/basebuild-angular/commit/187ff256441192bb00b1a43ec967f385a8b08f2c,"remove operator, change a batch of dependencies once, lock all dependencies","Change providers with same prefix on name, Add new feature",,,"""Updating many dependencies and syntax for filters"""
backbone.marionette,2.3.1,2.3.0,2015-01-14T23:47:36.631Z,2014-12-17T22:45:46.704Z,chai-jquery,1.2.1,^1.2.1,1.2.1,1.2.3,https://github.com/marionettejs/backbone.marionette/commit/49ed996a6808c48434e7e3f5c570506f327fa729,"remove operator, change a batch of dependencies once, lock all dependencies",Change providers with same prefix on name,,,"""Lock all dev deps"""
backbone.radio,2.0.0,2.0.0-pre.2,2016-08-23T09:51:10.167Z,2016-08-03T23:00:50.771Z,gulp-filter,3.0.0,^3.0.0,3.0.0,3.0.1,https://github.com/marionettejs/backbone.radio/commit/8d3c7deec61205daddbd49ce86dbac27afb1aaad,"remove operator, change a batch of dependencies once, lock all dependencies","Remove some provider(s), Change configuration",,,"""2.0.0 (#263): Lock down devDependencies"""
lightstep-tracer,0.20.3,0.20.2,2017-04-28T00:14:26.604Z,2017-01-10T05:40:19.057Z,eslint,2.4.0,^2.4.0,2.4.0,2.13.1,https://github.com/lightstep/lightstep-tracer-javascript/commit/e979287f38c03ef7447ee86d78fa2f9d023801b1,"remove operator, change a batch of dependencies once, lock all dependencies","Change providers with same prefix on name, Prevent error",Error prevention,,"""Locks down package.json dependency versions to avoid build inconsistencies and variation across systems."""
tf-metatags,0.4.4,0.4.3,2016-03-20T22:08:16.370Z,2015-10-14T22:59:22.457Z,bower,1.4.1,^1.4.1,1.4.1,1.5.3,https://github.com/thiagofesta/tf-metatags/commit/f8302b5e90fd4e0811ad947d69f01e18d86373c3,"remove operator, change a batch of dependencies once, lock all dependencies",Change providers with same prefix on name,,,"""Use specific package versions"""
breact-components,0.1.1,0.0.4,2017-04-11T20:48:18.556Z,2017-04-11T18:33:34.661Z,babel-eslint,6.0.2,^6.0.2,6.0.2,6.1.2,https://github.com/conceptu/BReactComponents/commit/d69d4bb5b2d9d78315d2f6aa21b956e94da80786,"remove operator, change a batch of dependencies once, lock all dependencies",Change providers with same prefix on name,,,"""more changes"""
meetup-web-platform,0.10.395-beta,0.10.392-beta,2016-12-08T00:35:40.470Z,2016-12-07T00:55:01.634Z,uuid,3.0.0,^3.0.0,3.0.0,3.0.1,https://github.com/meetup/meetup-web-platform/commit/d9b6be13d2915c444820181be413e6983522e913,"remove operator, change a batch of dependencies once, lock all dependencies",Change providers with same prefix on name,,,"""pin package versions, upgrade rxjs"""
flight-scrapper,0.0.5,0.0.4,2016-08-18T17:18:02.014Z,2016-07-08T23:38:46.486Z,mongodb,2.1.18,^2.1.18,2.1.18,2.2.0,https://github.com/bertolo1988/flight-scrappper/commit/4c4e7c86b2f34f11359ed4403b1ac371e3ff884a,"remove operator, change a batch of dependencies once, lock all dependencies",No specific factor,,,"""Update project version. Freeze dependencies."""
ct-ng2-datepicker,0.2.0,0.1.0,2016-12-21T21:45:09.165Z,2016-12-08T15:24:24.957Z,angular2-template-loader,^0.4.0,^0.6.0,0.4.0,0.6.0,https://github.com/Centeva/ngx-datepicker/commit/c40d6c30fa41b0e825cafffc0daa2e97574343ba,downgrading to make another package work,Fix incompatibility,,,"""webpack works!"""
fecs,0.8.4-beta.4,0.8.4-beta.3,2016-07-14T09:40:04.402Z,2016-07-14T08:46:55.610Z,mock-fs,3.9.0,^3.9.0,3.9.0,3.11.0,https://github.com/ecomfe/fecs/commit/a8e7e92009fb2fd78735439bc3ebfd8aca145212,"fix build (CI), choose specific provider, choose specific target version","Specify provider to downgrade, Fix build","Breaking change, Build-time breaking change",,"""mock-fs fallback to 3.9.0, fix ci, bump to 0.8.4-beta.4"""
fresh,0.2.3,0.2.2,2014-09-08T01:09:11.214Z,2014-02-19T23:28:15.565Z,should,3,*,3.0.0,3.1.2,https://github.com/jshttp/fresh/commit/a6a2a2531350b88c1ef3c87e14939cd0652deee4,choose specific target version,Refactor code,,,"""build: cleanup package"""
express-device,0.3.12,0.3.11,2015-08-25T16:42:47.906Z,2014-08-21T09:49:44.764Z,express,3.x.x,>=3.0.0,3.21.2,4.8.5,https://github.com/rguerreiro/express-device/commit/8c9ee32c70c983cc478c29077f9a8584a6b9f5b5,"provider version not supported, choose specific provider, choose specific range","Fix incompatibility, Temporary change",,,"""only express 3.0 is supported...for now"""
emailjs,0.3.4,0.3.3,2012-12-20T07:48:05.414Z,2012-10-29T06:25:24.785Z,simplesmtp,= 0.1.18,>= 0.1.18,0.1.18,0.1.25,"https://github.com/eleith/emailjs/commit/a68f4e703220b67ace67e4f163163ed6475a85a5, https://github.com/eleith/emailjs/issues/55","pin dependency, recommentadion from some client package user","Fix unspecified issue, Prevent error",Error prevention,,"""please pin the moment dependency: By using >= you expose anyone using your package and installing via npm install to different versions of the package being installed. If moment breaks api with a major or minor release then you will never know. I suggest pinning to the exact version of moment or at least using ~ to indicate that only patches above a certain patch level are allowed."
patternpack,1.0.2-beta2,1.0.2-beta1,2015-10-17T21:25:54.183Z,2015-10-12T15:07:15.185Z,assemble,^0.4.42,latest,0.4.42,0.6.0,https://github.com/patternpack/patternpack/commit/b1767d6a7408ff924a517c36d8928637be922dab,"from latest to ^, change a batch of providers, choose specific version range",Change providers with same prefix on name,,,"""Lock down npm dependency versions"""
objects-node,1.0.0,0.0.0,2016-07-25T10:51:46.464Z,2016-07-25T10:28:51.625Z,eslint,2,^3.1.1,2.0.0,3.1.1,https://github.com/segmentio/objects-node/commit/4d8149a5f95a85426efe81ce1be85377ad769b22,"choose specific provider, choose specific range",Fix incompatibility,"Incompatibilities, Node version",,
seneca-suncalculator,0.1.0,0.0.1,2016-04-05T03:26:06.414Z,2016-03-31T22:53:28.164Z,lab,6.x.x,^10.3.0,6.2.0,10.3.0,https://github.com/mlinnen/seneca-suncalculator/commit/b7e0a115d09d0e3ff7a77dec1a220c7b8f8f695a,"choose specific provider, choose specific range",No specific factor,,,"""Change some of the dev dependencies”"
component-injector,0.0.6,0.0.5,2017-05-31T14:16:38.735Z,2017-05-28T17:29:14.062Z,typescript,~2.0.3,~2.2.0,2.0.10,2.2.2,https://github.com/kageoni/component-injector/commit/d20fe6754422f583cde9af3b26a7c909eeb17750,"choose specific provider, choose specific range",No specific factor,,,"""update the dependencies versions”"
umd-deps,0.0.8,0.0.7,2015-05-28T09:59:53.120Z,2015-05-26T09:41:56.611Z,acorn,^1.2.2,^2.0.1,1.2.2,2.0.1,https://github.com/nuintun/cmd-deps/commit/037e3688d30eb10650bb7d55dc7f64fe15f2a8e5,"choose specific provider, choose specific range",No specific factor,,,"""update deps"""
noselector,0.1.0,0.0.13,2014-12-01T03:50:19.019Z,2014-10-14T19:47:05.146Z,bindable,0.0.x,0.6.x,0.0.0,0.6.3,https://github.com/crcn-archive/noselector.js/commit/818d3fe0e7a7b2163711f60dc0f9229d522f4546,"choose specific provider, choose specific range",No specific factor,,,"""change dep"""
weroll,1.0.46,1.0.44,2017-04-22T07:02:23.550Z,2017-04-21T16:19:06.916Z,async,<=2.2.0,^2.1.4,2.2.0,2.3.0,https://github.com/jayliang701/weroll/commit/cbb90e2fd598c186f754020e4a912bc59cdbe97d,"choose specific provider, choose specific range",No specific factor,,,"""update"""
draft-js-hashtag-plugin,2.0.0-beta10,2.0.0-beta.4,2017-03-12T23:26:50.021Z,2016-09-11T22:43:39.882Z,immutable,~3.7.4,>=3.8.1,3.7.6,3.8.1,https://github.com/draft-js-plugins/draft-js-plugins/commit/2f384d1a983fdbbd1c61d85baef4639471d86226,"choose specific provider, choose specific range",Fix unspecified issue,,,"""fix immutable depedency"""
hadron-build,0.9.3,0.9.2,2016-09-22T01:25:04.498Z,2016-09-22T00:59:10.534Z,electron-packager,^6.0.2,^7.7.0,6.0.2,7.7.0,https://github.com/mongodb-js/hadron-build/commit/54bdd2c4bf0dd200a362b2b35d3b21cd0cfa9704,"choose specific provider, choose specific range","Change configuration, Specify provider to downgrade",,,"""electron-packager@6 and no symlink"""
heidelberg,1.0.3,1.0.2,2015-03-04T20:35:07.057Z,2015-02-23T13:04:41.390Z,jquery,^1.11.2,^2.1.3,1.11.2,2.1.3,https://github.com/djgrant/heidelberg/commit/be2620afccd8aa470dc9059c979ea0248576a486,"choose specific provider, choose specific range",Specify provider to downgrade,,,"""jquery 1"""
kentico-cloud-angular2-sdk,0.9.4,0.9.3,2017-05-30T07:24:01.651Z,2017-05-30T05:04:46.855Z,typescript,~2.2.0,2.3.3,2.2.2,2.3.3,https://github.com/Enngage/kentico-cloud-js/commit/13e9795f6df79f32f618774993de13a151106ac0,"choose specific provider, choose specific range","Change configuration, Add new provider(s)",,,"""Adds Angular2-Cli app for testing"""
bucketful,0.15.4,0.15.3,2015-08-07T17:32:12.557Z,2015-07-13T11:38:45.494Z,aws-sdk,^1.18.0,^2.1.38,1.18.0,2.1.38,https://github.com/jakobmattsson/bucketful/commit/260e895c5b09c32d4d6727bad34fa498ad699317,"choose specific provider, choose specific range","Add new test, Specify provider to downgrade",,,"""Reverted version of aws-sdk and added a test"""
mongo-redline,0.2.1,0.2.0,2014-05-09T14:00:17.076Z,2014-05-09T09:25:35.556Z,mongodb,1.3.x,1.4.x,1.3.23,1.4.3,https://github.com/redpelicans/mongobless/commit/63b67a657ee1a4901d1776fb4fb8e8849e355a97,"choose specific provider, choose specific range",No specific factor,,,"""Update package.json"""
tap-mini,1.1.1,1.1.0,2016-09-30T20:53:43.301Z,2016-09-30T20:44:43.890Z,tap-parser,^0.7.0,^3.0.3,0.7.0,3.0.3,https://github.com/jofan/tap-min/commit/d418b641caff870e284d0f9474ac9b214655c63d,"choose specific provider, choose specific range",Specify provider to downgrade,,,"""Reverted tap-parser depencency"""
vintage-popup,0.1.5,0.1.22,2017-05-29T22:04:02.669Z,2017-03-07T11:03:08.211Z,jquery,^1.9.1,^3.1.1,1.12.4,3.1.1,https://github.com/Inspired-by-Boredom/vintage-popup/commit/f70e19ed718a26424a4a8198cdeb0d268e12ef53,"choose specific provider, choose specific range","Refactor code, Change configuration",,,"""0.1.5 update; readme, css, js refactor; removed initialize() method"""
passport-oauth2-alt,1.5.1,1.5.0,2017-02-24T23:44:43.214Z,2017-02-24T22:28:20.456Z,mocha,2.x.x,^3.2.0,2.5.3,3.2.0,https://github.com/theogravity/passport-oauth2-alt/commit/563e5617a004848ca280e63a8c7b04ad2d1d3371,"choose specific provider, choose specific range","Specify provider to downgrade, Fix bug",,,"""Fix bug where the return value of the auth URL defined as a function was not being used in a certain place (the orig oauth instance was being used instead)"""
pancakes-recipe,0.1.191,0.1.190,2016-11-18T15:53:52.820Z,2016-11-14T18:59:53.161Z,yar,^7.0.2,^8.1.0,7.0.3,8.1.0,https://github.com/gethuman/pancakes-recipe/commit/7da8bacc0854fcddf04deab9c0f48e9c4b1669a2,"choose specific provider, choose specific range","Change configuration, Specify provider to downgrade",,,"""downgrading hapi"""
